Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,256637065,3292.523396888604,3609726,46.31095399784564,510864,5148221,66.04906463862983,52141,0.6689425879974468,6580,
United States of America,Americas,47373195,14312.029,615773,186.033,115925,766850,231.675,10303,3.113,1840
India,South-East Asia,34518901,2501.362,71365,5.171,8488,465911,33.762,2256,0.163,249
Brazil,Americas,22012150,10355.763,58312,27.433,8833,612587,288.196,1365,0.642,217
The United Kingdom,Europe,9806038,14444.86,281063,414.022,39881,143866,211.923,1031,1.519,150
Russian Federation,Europe,9331158,6394.074,260484,178.494,36970,264095,180.968,8709,5.968,1252
Turkey,Europe,8526567,10109.866,140025,166.026,23347,74629,88.487,1287,1.526,201
France,Europe,7166116,11018.122,117470,180.614,22571,115991,178.34,301,0.463,22
Iran (Islamic Republic of),Eastern Mediterranean,6077438,7235.653,39720,47.29,4340,128956,153.532,789,0.939,104
Germany,Europe,5354942,6438.805,333473,400.969,42727,99062,119.113,1390,1.671,75
Argentina,Americas,5315348,11760.719,9606,21.254,646,116377,257.495,145,0.321,3
Spain,Europe,5080664,10733.96,20189,42.653,0,87810,185.517,61,0.129,0
Colombia,Americas,5045412,9915.734,16077,31.596,2590,128054,251.664,288,0.566,41
Italy,Europe,4915981,8242.553,63434,106.359,11540,133131,223.219,392,0.657,49
Indonesia,South-East Asia,4253412,1555.044,2336,0.854,0,143739,52.551,69,0.025,0
Mexico,Americas,3862137,2995.466,16408,12.726,3306,292372,226.763,1225,0.95,227
Poland,Europe,3345388,8813.362,140807,370.953,18924,80822,212.924,1953,5.145,41
Ukraine,Europe,3332943,7620.985,115304,263.65,10635,81272,185.834,4567,10.443,377
South Africa,Africa,2929862,4940.021,3923,6.615,687,89574,151.03,90,0.152,2
Philippines,Western Pacific,2826410,2579.287,9446,8.62,2227,47074,42.958,1493,1.362,171
Malaysia,Western Pacific,2586601,7991.723,40292,124.489,4854,30002,92.696,326,1.007,24
Netherlands,Europe,2421643,13911.424,138761,797.13,21873,18955,108.889,230,1.321,55
Peru,Americas,2222879,6741.747,9331,28.3,1725,200833,609.104,228,0.691,32
Iraq,Eastern Mediterranean,2074419,5157.361,5172,12.858,584,23665,58.835,162,0.403,23
Thailand,South-East Asia,2071009,2967.063,46256,66.269,6428,20436,29.278,355,0.509,49
Czechia,Europe,1995291,18658.148,104697,979.031,14442,32079,299.974,534,4.993,74
Canada,Americas,1762434,4669.67,14447,38.278,0,29481,78.112,157,0.416,0
Romania,Europe,1760765,9109.523,21482,111.14,2697,54838,283.711,2002,10.358,214
Chile,Americas,1743137,9118.637,16656,87.13,2641,38117,199.396,142,0.743,23
Japan,Western Pacific,1726474,1365.056,1008,0.797,141,18347,14.506,20,0.016,0
Belgium,Europe,1581500,13725.391,70639,613.056,0,26568,230.576,187,1.623,0
Bangladesh,South-East Asia,1574088,955.792,1353,0.822,0,27953,16.973,27,0.016,0
Israel,Europe,1339647,15477.334,2680,30.963,230,8154,94.206,6,0.069,0
Pakistan,Eastern Mediterranean,1281872,580.315,2236,1.012,313,28659,12.974,53,0.024,4
Serbia,Europe,1230976,17771.451,22590,326.129,2648,11166,161.202,385,5.558,51
Sweden,Europe,1188735,11510.286,5361,51.91,0,15110,146.307,4,0.039,0
Portugal,Europe,1119784,10876.009,13779,133.83,2333,18310,177.838,68,0.66,10
Viet Nam,Western Pacific,1094514,1124.44,67992,69.851,9889,23761,24.411,679,0.698,76
Kazakhstan,Europe,1045683,5569.044,8045,42.846,1048,17670,94.106,158,0.841,21
Austria,Europe,1042139,11708.027,96094,1079.579,15208,11587,130.175,198,2.224,31
Hungary,Europe,998488,10220.434,58704,600.889,0,32780,335.533,913,9.345,0
Cuba,Americas,960802,8482.692,2064,18.223,330,8295,73.235,13,0.115,2
Morocco,Eastern Mediterranean,948923,2570.871,697,1.888,93,14761,39.991,18,0.049,0
Switzerland,Europe,937032,10826.96,23140,267.372,0,10941,126.418,33,0.381,0
Jordan,Eastern Mediterranean,914849,8966.353,22726,222.735,3579,11361,111.348,123,1.206,14
Greece,Europe,874812,8161.652,46780,436.439,5944,17237,160.814,551,5.141,69
Nepal,South-East Asia,819019,2810.943,1686,5.786,0,11496,39.455,18,0.062,0
Georgia,Europe,812246,20361.253,28155,705.785,3357,11498,288.23,523,13.11,76
United Arab Emirates,Eastern Mediterranean,741433,7496.49,488,4.934,63,2144,21.678,1,0.01,0
Tunisia,Eastern Mediterranean,716262,6060.454,575,4.865,79,25344,214.441,33,0.279,4
Bulgaria,Europe,672555,9674.987,17736,255.14,1455,27180,390.996,939,13.508,56
Lebanon,Eastern Mediterranean,659404,9660.967,6669,97.708,2037,8645,126.658,63,0.923,20
Belarus,Europe,638402,6756.062,12810,135.565,1859,4932,52.194,98,1.037,16
Guatemala,Americas,613892,3426.584,3888,21.702,179,15840,88.415,126,0.703,3
Slovakia,Europe,610140,11179.08,50040,916.841,7727,13861,253.963,324,5.936,43
Azerbaijan,Europe,572085,5642.323,13654,134.666,1763,7599,74.947,183,1.805,20
Croatia,Europe,566118,13950.098,31517,776.632,5614,10243,252.405,403,9.931,65
Costa Rica,Americas,565548,11101.981,1170,22.968,0,7251,142.341,47,0.923,0
Sri Lanka,South-East Asia,556626,2599.447,4352,20.324,0,14127,65.973,111,0.518,0
Saudi Arabia,Eastern Mediterranean,549479,1578.334,257,0.738,36,8824,25.346,11,0.032,1
Bolivia (Plurinational State of),Americas,529075,4532.46,6545,56.069,668,19062,163.3,58,0.497,11
Ireland,Europe,524783,10570.84,30152,607.36,5959,5609,112.984,43,0.866,0
Ecuador,Americas,523847,2969.14,4287,24.299,0,33121,187.728,132,0.748,0
Myanmar,South-East Asia,517922,951.891,3960,7.278,0,19025,34.966,79,0.145,0
Panama,Americas,475577,11022.078,1124,26.05,0,7350,170.345,9,0.209,0
Paraguay,Americas,462242,6480.751,330,4.627,44,16355,229.301,20,0.28,1
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,458448,8986.685,1294,25.366,175,4779,93.68,25,0.49,5
Lithuania,Europe,455558,16304.342,12332,441.36,1359,6521,233.385,204,7.301,27
Denmark,Europe,446676,7671.204,26577,456.433,3795,2807,48.207,47,0.807,10
Venezuela (Bolivarian Republic of),Americas,424441,1492.622,5541,19.486,808,5073,17.84,54,0.19,7
Republic of Korea,Western Pacific,418252,815.796,20786,40.543,2827,3298,6.433,183,0.357,24
Kuwait,Eastern Mediterranean,413137,9674.046,129,3.021,17,2464,57.697,2,0.047,0
Dominican Republic,Americas,402731,3712.522,6875,63.376,817,4186,38.588,16,0.147,0
Slovenia,Europe,398440,19010.803,22643,1080.367,3232,5399,257.603,71,3.388,4
Uruguay,Americas,397712,11449.134,1310,37.712,163,6112,175.949,11,0.317,2
Honduras,Americas,377420,3810.55,453,4.574,0,10388,104.88,35,0.353,0
Mongolia,Western Pacific,374386,11420.161,1626,49.599,0,1836,56.005,21,0.641,0
Ethiopia,Africa,370200,322.015,1378,1.199,146,6682,5.812,59,0.051,10
Libya,Eastern Mediterranean,367811,5352.865,3136,45.639,593,5380,78.297,84,1.222,15
Republic of Moldova,Europe,357831,8870.458,5161,127.939,620,8799,218.123,353,8.751,43
Egypt,Eastern Mediterranean,350397,342.404,6436,6.289,884,19933,19.478,434,0.424,61
Armenia,Europe,334075,11274,5112,172.514,492,7278,245.61,262,8.842,25
Oman,Eastern Mediterranean,304492,5962.685,63,1.234,4,4113,80.542,0,0,0
