Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,183700343,2356.782241660852,2669006,34.241993460438266,322222,3981756,51.08391023214663,53493,0.6862880623644998,6075,
United States of America,Americas,33378240,10083.98,78879,23.83,0,600294,181.36,1507,0.46,45,Community transmission
India,South-East Asia,30585229,2216.31,305898,22.17,39796,402728,29.18,5998,0.43,723,Clusters of cases
Brazil,Americas,18769808,8830.38,349210,164.29,27783,524417,246.72,10943,5.15,830,Community transmission
France,Europe,5674906,8725.34,14346,22.06,2549,110233,169.49,171,0.26,9,Community transmission
Russian Federation,Europe,5635294,3861.52,162353,111.25,24353,138579,94.96,4686,3.21,654,Clusters of cases
Turkey,Europe,5444786,6455.83,35759,42.4,4418,49924,59.19,348,0.41,50,Community transmission
The United Kingdom,Europe,4903438,7223.05,171000,251.89,23818,128222,188.88,122,0.18,15,Community transmission
Argentina,Americas,4535473,10035.17,130226,288.14,9000,95904,212.2,3336,7.38,310,Community transmission
Colombia,Americas,4350495,8550.02,191779,376.9,26265,108896,214.01,4218,8.29,582,Community transmission
Italy,Europe,4263317,7148.24,5248,8.8,806,127649,214.03,177,0.3,12,Clusters of cases
Spain,Europe,3821305,8073.3,26704,56.42,0,80883,170.88,25,0.05,0,Community transmission
Germany,Europe,3731124,4486.32,4195,5.04,212,91031,109.46,269,0.32,1,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,3270843,3894.19,90751,108.05,16025,84949,101.14,964,1.15,157,Community transmission
Poland,Europe,2880308,7588.12,619,1.63,38,75085,197.81,106,0.28,1,Community transmission
Mexico,Americas,2540068,1970.07,34276,26.58,2611,233622,181.2,1058,0.82,42,Community transmission
Indonesia,South-East Asia,2313829,845.93,177831,65.01,29745,61140,22.35,3579,1.31,558,Community transmission
Ukraine,Europe,2237823,5116.92,3542,8.1,244,52484,120.01,189,0.43,14,Community transmission
Peru,Americas,2065113,6263.26,16998,51.55,2001,193230,586.05,1331,4.04,161,Community transmission
South Africa,Africa,2062896,3478.24,133999,225.93,16585,61840,104.27,1940,3.27,333,Community transmission
Netherlands,Europe,1689106,9703.28,5899,33.89,1239,17756,102,15,0.09,0,Community transmission
Czechia,Europe,1667935,15597.01,988,9.24,0,30310,283.43,12,0.11,0,Community transmission
Chile,Americas,1572608,8226.57,21471,112.32,2824,33249,173.93,795,4.16,146,Community transmission
Philippines,Western Pacific,1441746,1315.69,38167,34.83,5392,25192,22.99,736,0.67,43,Community transmission
Canada,Americas,1416969,3754.34,3766,9.98,308,26360,69.84,133,0.35,12,Community transmission
