Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 1 million population,Cases - newly reported in last 7 days,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 1 million population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,106555206,13649.880286259337,2996254,334648,2333446,298.9179013407445,84855,10702,
United States of America,Americas,26832826,81065.29,777314,86449,461610,1394.58,21780,1617,Community transmission
India,South-East Asia,10858371,7868.36,81087,11067,155252,112.5,656,94,Clusters of cases
Brazil,Americas,9548079,44919.58,318757,23439,232170,1092.26,7071,636,Community transmission
Russian Federation,Europe,4012710,27496.66,111506,14494,78134,535.4,3450,536,Clusters of cases
The United Kingdom,Europe,3972152,58512.08,119525,12364,113850,1677.08,5837,1052,Community transmission
France,Europe,3304356,50623.23,132230,18570,79737,1221.58,2897,721,Community transmission
Spain,Europe,3005487,64281.92,109466,7162,63061,1348.76,1698,75,Community transmission
Italy,Europe,2655319,43917.28,84711,10612,92002,1521.65,2658,422,Clusters of cases
Turkey,Europe,2548195,30213.7,55218,8636,26998,320.11,761,98,Community transmission
Germany,Europe,2299996,27451.51,62206,8072,62969,751.56,4013,813,Community transmission
Colombia,Americas,2161462,42479.15,56956,4246,56290,1106.27,2018,297,Community transmission
Argentina,Americas,1985501,43931.12,51648,5154,49398,1092.98,1149,227,Community transmission
Mexico,Americas,1936013,15015.68,66305,3868,166731,1293.16,7631,531,Community transmission
Poland,Europe,1563645,41315.32,36629,6960,39721,1049.53,1824,361,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1481396,17637.15,49980,7640,58625,697.98,515,89,Community transmission
South Africa,Africa,1479253,24941.59,20295,1742,46869,790.26,1923,396,Community transmission
Ukraine,Europe,1253055,28651.89,25891,3409,23934,547.27,845,163,Community transmission
Peru,Americas,1191221,36128.42,48505,4523,42467,1287.98,1286,159,Community transmission
Indonesia,South-East Asia,1174779,4294.98,75092,8700,31976,116.9,1395,213,Community transmission
Czechia,Europe,1055415,98554.19,51758,10283,17642,1647.4,959,145,Community transmission
