Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,124535520,1595.3185237960645,3596264,46.06867643593514,575191,2738876,35.08540870251692,63520,0.8137006424474398,10421,
United States of America,Americas,29653604,8958.72,392832,118.68,58755,539027,162.85,7172,2.17,775,Community transmission
Brazil,Americas,12130019,5706.65,526484,247.69,82493,298676,140.51,16549,7.79,3251,Community transmission
India,South-East Asia,11787534,854.17,312929,22.68,53476,160692,11.64,1476,0.11,251,Clusters of cases
Russian Federation,Europe,4492692,3078.57,64453,44.17,9221,96612,66.2,2788,1.91,393,Clusters of cases
The United Kingdom,Europe,4312912,6353.17,38329,56.46,5604,126382,186.17,551,0.81,98,Community transmission
France,Europe,4306105,6597.02,229936,352.27,33389,92608,141.88,1715,2.63,245,Community transmission
Italy,Europe,3440862,5690.97,159052,263.06,21246,106339,175.88,2907,4.81,460,Clusters of cases
Spain,Europe,3241345,6932.65,30171,64.53,3835,74064,158.41,309,0.66,12,Community transmission
Turkey,Europe,3091282,3665.3,160728,190.57,29762,30462,36.12,766,0.91,146,Community transmission
Germany,Europe,2713180,3238.31,100912,120.44,22657,75440,90.04,1308,1.56,228,Community transmission
Colombia,Americas,2347224,4612.99,37624,73.94,4946,62274,122.39,906,1.78,126,Community transmission
Argentina,Americas,2261577,5003.96,51456,113.85,9405,54823,121.3,787,1.74,152,Community transmission
Mexico,Americas,2203041,1708.67,34034,26.4,5881,199048,154.38,3929,3.05,809,Community transmission
Poland,Europe,2154821,5693.56,170573,450.7,34150,50860,134.38,2472,6.53,520,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,1823317,2170.8,52202,62.15,7605,62045,73.87,553,0.66,94,Community transmission
Ukraine,Europe,1596575,3650.67,92499,211.5,16669,31135,71.19,1882,4.3,362,Community transmission
South Africa,Africa,1540009,2596.6,7512,12.67,1048,52372,88.3,738,1.24,121,Community transmission
Czechia,Europe,1495361,13963.62,56342,526.12,8851,25450,237.65,1333,12.45,192,Community transmission
Peru,Americas,1481259,4492.5,53655,162.73,8469,50474,153.08,1144,3.47,135,Community transmission
Indonesia,South-East Asia,1476452,539.79,39169,14.32,5227,39983,14.62,1068,0.39,118,Community transmission
Netherlands,Europe,1220945,7125.5,47676,278.24,7624,16371,95.54,207,1.21,31,Community transmission
Chile,Americas,947783,4958.01,42571,222.7,4825,22402,117.19,586,3.07,18,Community transmission
Canada,Americas,942320,2496.73,26452,70.09,3601,22735,60.24,216,0.57,19,Community transmission
Romania,Europe,913143,4746.64,38158,198.35,6136,22579,117.37,792,4.12,137,Community transmission
Belgium,Europe,849090,7326.3,23249,200.6,0,22786,196.61,159,1.37,0,Community transmission
Israel,Europe,829752,9586.37,6553,75.71,676,6131,70.83,79,0.91,12,Community transmission
Portugal,Europe,818787,8029.91,3217,31.55,575,16805,164.81,83,0.81,11,Clusters of cases
Iraq,Eastern Mediterranean,809092,2011.54,35077,87.21,6051,14095,35.04,235,0.58,29,Community transmission
Sweden,Europe,765984,7584.55,33929,335.96,7662,13357,132.26,30,0.3,0,Community transmission
Philippines,Western Pacific,684311,624.48,48617,44.37,6664,13039,11.9,173,0.16,47,Community transmission
Pakistan,Eastern Mediterranean,637042,288.39,24727,11.19,3301,13965,6.32,309,0.14,30,Community transmission
Hungary,Europe,603347,6245.6,64267,665.27,9637,19224,199,1596,16.52,272,Community transmission
Switzerland,Europe,585395,6763.96,8610,99.48,2,9498,109.74,35,0.4,1,Community transmission
Bangladesh,South-East Asia,580808,352.67,18056,10.96,3567,8763,5.32,155,0.09,25,Community transmission
Serbia,Europe,566669,8137.4,35111,504.2,5297,5039,72.36,229,3.29,37,Community transmission
Jordan,Eastern Mediterranean,562857,5516.51,57942,567.88,9130,6181,60.58,628,6.15,104,Community transmission
Austria,Europe,519945,5773.06,22063,244.97,3262,8928,99.13,181,2.01,29,Community transmission
Morocco,Eastern Mediterranean,492842,1335.23,2754,7.46,439,8786,23.8,41,0.11,11,Clusters of cases
Japan,Western Pacific,460897,364.41,9711,7.68,1854,8938,7.07,221,0.17,30,Clusters of cases
Lebanon,Eastern Mediterranean,448721,6574.24,21744,318.57,0,5903,86.49,367,5.38,0,Community transmission
United Arab Emirates,Eastern Mediterranean,446594,4515.43,14230,143.88,2196,1456,14.72,42,0.42,5,Community transmission
Saudi Arabia,Eastern Mediterranean,386300,1109.62,2801,8.05,466,6624,19.03,39,0.11,6,Sporadic cases
Slovakia,Europe,354182,6487.28,9712,177.89,1654,9313,170.58,499,9.14,52,Clusters of cases
Panama,Americas,351667,8150.31,3087,71.54,454,6060,140.45,51,1.18,8,Community transmission
Malaysia,Western Pacific,336808,1040.62,9555,29.52,1268,1246,3.85,26,0.08,2,Clusters of cases
