Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,318648834,4088.1029454427126,19165060,245.87800071970852,3120435,5518343,70.79754220052529,47416,0.6083232341628846,7942,
United States of America,Americas,62973416,19025.049,5431091,1640.8,847054,839043,253.485,12769,3.858,2561
India,South-East Asia,36582129,2650.87,1355743,98.242,264202,485350,35.17,2172,0.157,315
Brazil,Americas,22716091,10686.937,364987,171.711,86631,620371,291.858,858,0.404,133
The United Kingdom,Europe,14967821,22048.464,952752,1403.459,105679,151342,222.935,1827,2.691,335
France,Europe,12903125,19838.949,2000973,3076.557,299803,123893,190.489,1490,2.291,225
Russian Federation,Europe,10747125,7364.35,129090,88.458,23820,319911,219.216,5307,3.637,739
Turkey,Europe,10270349,12177.452,483966,573.834,75564,84278,99.928,1047,1.241,153
Italy,Europe,8155645,13674.449,1180180,1978.79,184577,140188,235.051,1714,2.874,316
Spain,Europe,7930528,16754.891,699326,1477.472,67610,90620,191.454,474,1.001,22
Germany,Europe,7835451,9421.379,417456,501.951,92223,115337,138.682,1705,2.05,286
Argentina,Americas,6793119,15030.43,877424,1941.385,259484,117808,260.662,462,1.022,213
Iran (Islamic Republic of),Eastern Mediterranean,6214781,7399.17,12143,14.457,2394,132002,157.158,200,0.238,30
Colombia,Americas,5410698,10633.629,191065,375.499,29857,130529,256.528,389,0.765,69
Poland,Europe,4281482,11279.484,90289,237.865,16049,101841,268.298,2413,6.357,422
Indonesia,South-East Asia,4269740,1561.013,4553,1.665,850,144163,52.706,42,0.015,8
Mexico,Americas,4214253,3268.567,127803,99.124,44187,300764,233.272,482,0.374,190
Ukraine,Europe,3737510,8546.052,41042,93.845,10476,98068,224.239,980,2.241,140
South Africa,Africa,3546808,5980.25,42254,71.244,5917,92989,156.788,877,1.479,159
Netherlands,Europe,3465463,19907.776,217818,1251.282,33436,21127,121.367,86,0.494,13
Philippines,Western Pacific,3092409,2822.028,203564,185.766,34021,52736,48.125,993,0.906,82
Malaysia,Western Pacific,2798917,8647.708,22218,68.646,3684,31750,98.097,122,0.377,12
Canada,Americas,2657384,7040.891,262710,696.065,32597,31082,82.354,558,1.478,125
Czechia,Europe,2573945,24069.195,56229,525.803,11675,36799,344.111,236,2.207,13
Peru,Americas,2440349,7401.31,121806,369.424,27772,203193,616.262,289,0.877,36
Belgium,Europe,2379053,20647.129,135700,1177.702,15,28589,248.116,128,1.111,2
Thailand,South-East Asia,2308615,3307.472,55839,79.999,8158,21898,31.373,99,0.142,15
Iraq,Eastern Mediterranean,2104940,5233.241,9092,22.604,2385,24229,60.237,35,0.087,4
Viet Nam,Western Pacific,1975444,2029.456,131881,135.487,16725,35170,36.132,1526,1.568,206
Romania,Europe,1875887,9705.12,48020,248.437,9785,59150,306.019,210,1.086,36
Chile,Americas,1849465,9674.856,32165,168.26,7247,39331,205.747,124,0.649,41
Japan,Western Pacific,1809010,1430.314,65463,51.759,17940,18414,14.559,16,0.013,2
Portugal,Europe,1774477,17234.777,235427,2286.607,40134,19203,186.511,149,1.447,22
Israel,Europe,1708920,19743.653,250355,2892.425,40430,8293,95.811,26,0.3,1
Switzerland,Europe,1627238,18801.962,132024,1525.475,29,12037,139.082,74,0.855,0
Greece,Europe,1612869,15047.434,190849,1780.546,20409,21732,202.751,547,5.103,95
Bangladesh,South-East Asia,1609042,977.016,17949,10.899,4378,28129,17.08,31,0.019,6
Sweden,Europe,1534797,14861.136,135545,1312.455,25215,15482,149.909,41,0.397,0
Serbia,Europe,1399867,20209.71,72412,1045.403,13753,13003,187.723,153,2.209,19
Austria,Europe,1392678,15646.197,82877,931.091,16193,13450,151.106,68,0.764,14
Hungary,Europe,1327014,13583.197,44057,450.964,8921,40237,411.862,457,4.678,73
Pakistan,Eastern Mediterranean,1312267,594.075,12419,5.622,3019,28992,13.125,37,0.017,5
Australia,Western Pacific,1195158,4686.915,511267,2004.978,68250,2522,9.89,221,0.867,57
Kazakhstan,Europe,1108567,5903.948,32351,172.293,10507,18293,97.424,19,0.101,2
Jordan,Eastern Mediterranean,1088329,10666.615,14322,140.369,0,12932,126.745,122,1.196,0
Ireland,Europe,1061116,21374.334,152444,3070.719,18904,6035,121.565,83,1.672,0
Denmark,Europe,1056389,18142.401,137001,2352.852,25751,3453,59.302,120,2.061,20
Morocco,Eastern Mediterranean,1017560,2756.826,33931,91.928,0,14935,40.463,52,0.141,0
Cuba,Americas,988789,8729.783,18222,160.878,3387,8331,73.552,6,0.053,1
Georgia,Europe,984802,24686.859,31392,786.93,5567,14395,360.852,267,6.693,36
Slovakia,Europe,874399,16020.875,16598,304.111,1888,17188,314.921,292,5.35,60
Nepal,South-East Asia,845501,2901.831,14449,49.59,4204,11613,39.857,11,0.038,3
Bulgaria,Europe,806977,11608.704,36976,531.915,7034,31922,459.211,547,7.869,84
United Arab Emirates,Eastern Mediterranean,795997,8048.176,18413,186.17,2683,2182,22.062,12,0.121,1
Lebanon,Eastern Mediterranean,794744,11643.842,40865,598.716,0,9325,136.621,94,1.377,0
Croatia,Europe,794190,19570.175,48646,1198.719,9157,13006,320.49,242,5.963,23
Tunisia,Eastern Mediterranean,756155,6397.998,20182,170.764,0,25731,217.716,101,0.855,0
Belarus,Europe,711728,7532.054,6821,72.185,1096,5774,61.105,105,1.111,17
Bolivia (Plurinational State of),Americas,711299,6093.53,69482,595.236,14063,20103,172.218,255,2.185,47
Republic of Korea,Western Pacific,683566,1333.288,26061,50.832,4542,6259,12.208,327,0.638,49
Guatemala,Americas,643447,3591.552,11717,65.401,2283,16128,90.022,14,0.078,1
Azerbaijan,Europe,623555,6149.958,4053,39.974,674,8490,83.735,68,0.671,10
Costa Rica,Americas,599965,11777.603,21552,423.076,4170,7394,145.148,25,0.491,8
Saudi Arabia,Eastern Mediterranean,599044,1720.705,30394,87.304,5499,8901,25.567,13,0.037,2
Sri Lanka,South-East Asia,594319,2775.473,3668,17.13,0,15174,70.863,75,0.35,0
Ecuador,Americas,578525,3279.052,21252,120.455,0,34122,193.402,423,2.398,0
Lithuania,Europe,559980,20041.588,23575,843.745,4009,7618,272.647,114,4.08,15
Panama,Americas,540072,12516.829,32293,748.43,6513,7486,173.497,41,0.95,7
Myanmar,South-East Asia,532725,979.098,924,1.698,0,19298,35.468,10,0.018,0
Slovenia,Europe,512793,24466.937,33906,1617.76,6855,6171,294.437,22,1.05,2
Paraguay,Americas,486523,6821.176,15089,211.552,4017,16697,234.096,44,0.617,8
Dominican Republic,Americas,482457,4447.465,48747,449.368,5953,4259,39.261,7,0.065,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,474234,9296.128,2202,43.165,0,5005,98.11,38,0.745,0
Uruguay,Americas,473180,13621.669,47744,1374.43,9823,6205,178.626,24,0.691,3
Norway,Europe,472454,8801.993,44116,821.897,1905,1381,25.729,32,0.596,9
Ethiopia,Africa,453128,394.149,13104,11.398,2131,7109,6.184,104,0.09,19
Kuwait,Eastern Mediterranean,451430,10570.718,25975,608.232,4883,2474,57.931,5,0.117,1
Venezuela (Bolivarian Republic of),Americas,449730,1581.555,4050,14.243,1267,5370,18.885,29,0.102,4
Mongolia,Western Pacific,402462,12276.583,10014,305.464,2010,2009,61.282,14,0.427,3
Egypt,Eastern Mediterranean,395688,386.662,5394,5.271,0,22042,21.539,160,0.156,0
Libya,Eastern Mediterranean,395687,5758.553,3411,49.641,618,5822,84.729,55,0.8,9
Puerto Rico,Americas,385123,13461.824,57815,2020.901,11452,3446,120.454,108,3.775,25
Republic of Moldova,Europe,385047,9545.13,6143,152.282,1503,10416,258.208,76,1.884,10
Honduras,Americas,382815,3865.02,2325,23.474,375,10450,105.506,8,0.081,0
Finland,Europe,371135,6717.021,48468,877.203,3678,1724,31.202,5,0.09,0
Armenia,Europe,347084,11713.014,1566,52.848,273,8015,270.482,18,0.607,1
Kenya,Africa,315665,587.051,8979,16.699,1175,5472,10.176,61,0.113,3
Oman,Eastern Mediterranean,310338,6077.163,3240,63.447,750,4119,80.66,2,0.039,0
Bosnia and Herzegovina,Europe,310023,9449.573,12690,386.794,2590,13722,418.25,154,4.694,26
Bahrain,Eastern Mediterranean,298542,17545.039,10603,623.129,0,1397,82.1,2,0.118,0
