Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours,Transmission Classification
Global,,151803822,1944.6295259347737,5697242,72.98251693291151,808563,3186538,40.82002546887878,93246,1.194495121310675,12870,
United States of America,Americas,32002328,9668.3,345692,104.44,53567,570537,172.37,4728,1.43,815,Community transmission
India,South-East Asia,19557457,1417.2,2597285,188.21,392488,215542,15.62,23231,1.68,3689,Clusters of cases
Brazil,Americas,14659011,6896.43,421933,198.5,68333,403781,189.96,17365,8.17,2595,Community transmission
France,Europe,5553806,8539.15,163666,251.64,23986,103994,159.89,1963,3.02,164,Community transmission
Turkey,Europe,4849408,5749.9,257992,305.9,28817,40504,48.03,2493,2.96,373,Community transmission
Russian Federation,Europe,4823255,3305.08,60686,41.58,8697,110862,75.97,2630,1.8,342,Clusters of cases
The United Kingdom,Europe,4418534,6508.76,15360,22.63,1907,127524,187.85,107,0.16,7,Community transmission
Italy,Europe,4035617,6766.46,86100,144.36,12964,121033,202.93,2012,3.37,226,Clusters of cases
Spain,Europe,3514942,7426.05,30950,65.39,0,78080,164.96,169,0.36,0,Community transmission
Germany,Europe,3416822,4108.4,129404,155.6,16290,83192,100.03,1628,1.96,110,Community transmission
Argentina,Americas,2977363,6587.7,152711,337.89,22420,63865,141.31,2689,5.95,357,Community transmission
Colombia,Americas,2859724,5620.21,119180,234.22,17790,73720,144.88,3274,6.43,490,Community transmission
Poland,Europe,2803233,7385.06,44377,116.91,4616,68068,179.32,2653,6.99,144,Community transmission
Iran (Islamic Republic of),Eastern Mediterranean,2516157,2995.68,139118,165.63,17080,72090,85.83,2970,3.54,332,Community transmission
Mexico,Americas,2344755,1818.59,21325,16.54,3821,216907,168.23,2403,1.86,460,Community transmission
Ukraine,Europe,2083180,4763.32,57909,132.41,5094,44596,101.97,2273,5.2,160,Community transmission
