Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,214468601,2751.5233884492354,4503285,57.774862821773205,655085,4470969,57.36026493002343,67942,0.8716614049159486,8987,
United States of America,Americas,38158495,11528.15,1073281,324.25,169512,628456,189.86,8101,2.45,1231
India,South-East Asia,32603188,2362.54,244359,17.71,44658,436861,31.66,3272,0.24,496
Brazil,Americas,20645537,9712.83,187640,88.28,30671,576645,271.29,4983,2.34,903
Russian Federation,Europe,6844049,4689.81,138526,94.92,19509,180041,123.37,5556,3.81,798
The United Kingdom,Europe,6628713,9764.48,236549,348.45,37962,132143,194.65,770,1.13,140
France,Europe,6511793,10012.08,127020,195.3,18812,112410,172.83,571,0.88,72
Turkey,Europe,6293297,7461.9,135525,160.69,19616,55469,65.77,1578,1.87,257
Argentina,Americas,5155079,11406.11,48872,108.13,6994,110966,245.52,1314,2.91,160
Colombia,Americas,4897150,9624.35,19827,38.97,2448,124474,244.63,693,1.36,86
Iran (Islamic Republic of),Eastern Mediterranean,4833135,5754.22,245452,292.23,36758,104716,124.67,4461,5.31,694
Spain,Europe,4822320,10188.15,55629,117.53,4312,83861,177.17,349,0.74,19
Italy,Europe,4509611,7561.2,45606,76.47,7215,128957,216.22,323,0.54,43
Indonesia,South-East Asia,4043736,1478.39,93432,34.16,0,130182,47.59,6201,2.27,0
Germany,Europe,3913828,4706,60773,73.07,12029,92096,110.74,140,0.17,14
Mexico,Americas,3271128,2537.08,118923,92.24,21250,255452,198.13,4983,3.86,986
Poland,Europe,2887739,7607.69,1448,3.81,254,75335,198.47,20,0.05,3
South Africa,Africa,2734973,4611.42,82321,138.8,12771,80826,136.28,2132,3.59,357
Ukraine,Europe,2280203,5213.83,8377,19.15,2032,53632,122.63,238,0.54,66
Peru,Americas,2145051,6505.7,7756,23.52,1360,198031,600.61,372,1.13,87
